tijd	koppel	stroom	spanning	kadans	snelheid
34.855	1.992	0.505	3.769	13.79	17.92
34.928	1.982	0.501	3.769	13.79	17.92
35.001	1.982	0.501	3.774	13.79	17.92
35.089	2.017	0.501	3.769	13.79	17.92
35.161	1.982	0.501	3.769	0.00	17.92
35.233	1.953	0.501	3.769	0.00	17.92
35.305	2.036	0.505	3.774	0.00	17.92
35.378	1.997	0.496	3.774	0.00	17.92
35.449	2.041	0.505	3.774	0.00	17.63
35.525	2.105	0.501	3.774	8.17	17.63
35.597	2.149	0.501	3.774	8.17	17.63
35.670	2.164	0.491	3.774	57.69	17.63
35.742	2.164	0.510	3.778	57.69	17.63
35.814	2.223	0.496	3.774	63.56	17.63
35.887	2.233	0.505	3.778	66.37	17.79
35.958	2.198	0.505	3.778	66.37	17.79
36.031	2.012	0.510	3.774	64.66	17.79
36.103	1.806	0.505	3.774	64.66	17.79
36.175	1.605	0.510	3.788	60.00	17.79
36.247	1.614	0.515	3.842	63.03	17.79
36.320	1.757	0.515	3.793	63.03	17.92
36.392	1.884	0.525	3.626	61.48	17.92
36.464	2.036	0.530	3.489	61.48	17.92
36.540	2.125	0.515	3.617	60.98	17.92
36.618	2.130	0.525	3.803	62.50	17.92
36.690	2.144	0.515	3.607	62.50	17.92
36.763	2.198	0.525	3.661	62.50	17.55
36.835	2.203	0.520	3.778	62.50	17.55
36.908	2.193	0.520	3.837	62.50	17.55
36.979	2.090	0.510	3.813	63.03	17.55
37.052	1.919	0.535	3.823	63.03	17.55
37.124	1.703	0.520	3.690	61.48	17.55
37.196	1.654	0.535	3.774	61.48	17.79
37.269	1.703	0.515	3.808	63.56	17.79
37.341	1.830	0.510	3.867	63.03	17.79
37.413	2.041	0.510	3.828	63.03	17.79
37.488	2.105	0.510	3.793	63.56	17.79
37.561	2.115	0.525	3.803	63.56	17.79
37.634	2.120	0.535	3.877	63.56	18.08
37.705	2.189	0.515	3.798	63.56	18.08
37.778	2.203	0.510	3.666	63.56	18.08
37.850	2.174	0.520	3.832	65.22	18.08
37.922	2.115	0.520	3.818	63.03	18.08
37.994	1.958	0.525	3.666	63.03	18.08
38.067	1.673	0.535	3.901	63.56	18.17
38.184	1.565	0.520	3.867	65.79	18.17
38.281	1.811	0.535	3.764	64.10	18.17
38.352	2.002	0.520	3.867	64.10	18.17
38.425	2.071	0.520	3.602	64.66	18.52
38.500	2.081	0.520	3.832	66.96	18.52
38.573	2.095	0.520	3.577	66.96	18.52
38.644	2.120	0.525	3.852	66.96	18.52
38.717	2.130	0.525	3.828	65.79	18.52
38.789	2.164	0.515	3.921	65.79	18.52
38.861	2.002	0.510	3.847	66.96	18.92
38.933	1.708	0.505	3.607	66.96	18.92
39.006	1.541	0.525	3.793	68.18	18.92
39.077	1.453	0.505	3.725	68.18	18.92
39.150	1.664	0.520	3.749	68.18	18.92
39.222	1.968	0.520	3.823	65.22	18.92
39.294	2.125	0.510	3.823	69.44	19.25
39.366	2.120	0.525	3.793	69.44	19.25
39.439	2.100	0.520	3.798	71.43	19.25
39.514	2.120	0.515	3.778	68.81	19.25
39.586	2.149	0.520	3.798	68.81	19.25
39.658	2.115	0.520	3.690	68.81	19.69
39.731	2.036	0.520	3.778	68.81	19.69
39.802	1.816	0.530	3.788	68.81	19.69
39.875	1.472	0.515	3.803	69.44	19.69
39.947	1.629	0.515	3.803	72.82	19.69
40.019	1.776	0.505	3.528	72.82	20.05
40.092	1.973	0.525	3.798	69.44	20.05
40.164	2.140	0.515	3.587	70.75	20.05
40.237	2.100	0.540	3.852	72.82	20.05
40.308	2.115	0.530	3.788	72.82	20.05
40.381	2.144	0.520	3.828	70.09	20.05
40.456	2.140	0.520	3.607	70.09	20.10
40.528	2.159	0.520	3.749	70.09	20.10
